epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,1039.12,0.83131,0.89486,1,0.29672,0.0033262,0.0033262,0.0033262
2,2174.37,0.36589,0.90771,1,0.26935,0.0065936,0.0065936,0.0065936
3,3348.39,0.37201,0.8972,1,0.32961,0.009795,0.009795,0.009795
4,4468.06,0.36931,0.90537,1,0.26735,0.009703,0.009703,0.009703
5,5495.65,0.3249,0.91822,1,0.24174,0.009604,0.009604,0.009604
6,6576.85,0.28698,0.92874,1,0.24028,0.009505,0.009505,0.009505
7,7631.16,0.2492,0.90888,1,0.27884,0.009406,0.009406,0.009406
8,8693.34,0.2196,0.93458,1,0.18961,0.009307,0.009307,0.009307
9,9721.73,0.19865,0.93224,1,0.18452,0.009208,0.009208,0.009208
10,10750.6,0.19022,0.93224,1,0.20097,0.009109,0.009109,0.009109
11,11843.5,0.18409,0.93458,1,0.18596,0.00901,0.00901,0.00901
12,12900.6,0.17878,0.93575,1,0.17853,0.008911,0.008911,0.008911
13,13979.1,0.1493,0.93575,1,0.20538,0.008812,0.008812,0.008812
14,15129.5,0.16406,0.93575,1,0.17355,0.008713,0.008713,0.008713
15,16311.9,0.15335,0.91005,1,0.26236,0.008614,0.008614,0.008614
16,17419.5,0.14271,0.93575,1,0.16892,0.008515,0.008515,0.008515
17,18542.3,0.13444,0.94159,1,0.16215,0.008416,0.008416,0.008416
18,19693,0.14177,0.93925,1,0.16639,0.008317,0.008317,0.008317
19,20717.1,0.12749,0.93808,1,0.18321,0.008218,0.008218,0.008218
20,21725.6,0.13374,0.9486,1,0.15105,0.008119,0.008119,0.008119
21,22729.2,0.12085,0.93808,1,0.17755,0.00802,0.00802,0.00802
22,23732.1,0.12313,0.93808,1,0.19041,0.007921,0.007921,0.007921
23,24738.4,0.11868,0.94042,1,0.18241,0.007822,0.007822,0.007822
24,25766.5,0.11287,0.94159,1,0.16829,0.007723,0.007723,0.007723
25,26772.6,0.10323,0.94626,1,0.16057,0.007624,0.007624,0.007624
26,27777,0.10693,0.94977,1,0.17187,0.007525,0.007525,0.007525
27,28780.8,0.10644,0.93808,1,0.19847,0.007426,0.007426,0.007426
28,29788.6,0.09302,0.94977,1,0.15593,0.007327,0.007327,0.007327
29,30791.5,0.09481,0.94276,1,0.16453,0.007228,0.007228,0.007228
30,31794.4,0.10387,0.94276,1,0.18484,0.007129,0.007129,0.007129
31,32802.2,0.08762,0.94743,1,0.1861,0.00703,0.00703,0.00703
32,33806,0.09334,0.94509,1,0.15088,0.006931,0.006931,0.006931
33,34808.5,0.08316,0.94159,1,0.1795,0.006832,0.006832,0.006832
34,35812.2,0.0821,0.95093,1,0.1312,0.006733,0.006733,0.006733
35,36821.9,0.06613,0.95093,1,0.16617,0.006634,0.006634,0.006634
36,37827.1,0.07184,0.95444,1,0.15917,0.006535,0.006535,0.006535
37,38834.5,0.08468,0.94276,1,0.16811,0.006436,0.006436,0.006436
38,39844.5,0.07077,0.94977,1,0.16836,0.006337,0.006337,0.006337
39,40850.4,0.07642,0.95911,1,0.14257,0.006238,0.006238,0.006238
40,41854.4,0.07106,0.95911,1,0.15812,0.006139,0.006139,0.006139
41,42861,0.06236,0.9521,1,0.14474,0.00604,0.00604,0.00604
